State,2020 - Actual,2020 - Normal,2020 - % Departure,2021 - Actual,2021 - Normal,2021 - % Departure,2022 - Actual,2022 - Normal,2022 - % Departure
Andhra Pradesh,738.2,514.4,44,613.5,514.4,19,575.6,521.6,10
Arunachal Pradesh,1972,1726.6,14,1294,1726.6,-25,1430.3,1675.1,-15
Assam,1654.6,1486.2,11,1150,1486.2,-23,1340.5,1479.1,-9
Bihar,1272.4,1017.2,25,1044.3,1017.2,3,683.7,992.2,-31
Chandigarh,791.1,846.5,-7,600.2,846.5,-29,902.5,844.9,7
Chhatisgarh,1234.3,1142.1,8,1107.7,1142.1,-3,1276.3,1132.2,13
Dadra and Nagar Haveli,2379.6,2161.9,10,2674.2,2161.9,24,3148,2206.5,43
Delhi,467.7,585.8,-20,745.2,585.8,27,451.4,544.3,-17
Goa,4158.6,2974.7,40,3125.1,2974.7,5,2768.9,3007.7,-8
Gujarat,1091.7,692.4,58,694.6,692.4,0,905.9,711.9,27
Haryana,376.1,438.6,-14,571.3,438.6,30,464.7,426,9
Himachal Pradesh,567,763.5,-26,690.9,763.5,-10,706.9,734.4,-4
Jammu and Kashmir,422.4,566,-25,401.6,566,-29,580.5,549.1,6
Jharkhand,898.3,1054.7,-15,1041.5,1054.7,-1,817.6,1022.9,-20
Karnataka,1063.9,840.7,27,865.4,840.7,3,1075.2,831.8,29
Kerala,2227.6,2049.3,9,1719.1,2049.3,-16,1736.6,2018.6,-14
Ladakh,12.6,37.7,-67,21.9,37.7,-42,37.6,22.3,69
Lakshadweep,1345.4,1013.1,33,790.9,1013.1,-22,1391.2,1026.6,36
Madhya Pradesh,991.7,940.6,5,942.7,940.6,0,1169.5,949.5,23
Maharashtra,1166.1,1004.2,16,1194.3,1004.2,19,1219.8,994.5,23
Manipur,748.5,1404.9,-47,560.9,1404.9,-60,544.7,1038.8,-48
Meghalaya,3995.5,2855.8,40,2257.6,2855.8,-21,2477.2,2695.3,-8
Mizoram,1112.8,1655.9,-33,1271.3,1655.9,-23,1264.1,1626.1,-22
Nagaland,850.4,1143.4,-26,841.1,1143.4,-26,899.1,1038.8,-13
Odisha,1140.9,1155.3,-1,1045.1,1155.3,-10,1196.6,1150.2,4
Puducherry,442.1,425.6,4,435.8,425.6,2,367.3,418,-12
Punjab,387.5,467.3,-17,436.8,467.3,-7,414,439.8,-6
Rajasthan,450.2,415,8,485.3,415,17,596,435.6,37
Sikkim,2416.3,1606.8,50,1798,1606.8,12,1995,1672.9,19
Tamilnadu,425.8,336,27,393.4,336,17,476.8,328.4,45
Telangana,1095.8,751.9,46,1044.2,751.9,39,1072.7,734.8,46
Tripura,1301.9,1457.8,-11,1246.1,1457.8,-15,1058.2,1391.1,-24
Uttar Pradesh,649.7,790.2,-18,749.2,790.2,-5,533.4,746.2,-29
Uttarakhand,943.1,1176.9,-20,1156.1,1176.9,-2,1128,1162.7,-3
West Bengal,1487,1405,6,1612.9,1405,15,1123.6,1344.2,-16
